"","X","age","workclass","education","educational.num","marital.status","race","gender","hours.per.week","income"
"1",1,25,"Private","11th",7,"Never-married","Black","Male",40,"<=50K"
"2",2,38,"Private","HS-grad",9,"Married-civ-spouse","White","Male",50,"<=50K"
"3",3,28,"Local-gov","Assoc-acdm",12,"Married-civ-spouse","White","Male",40,">50K"
"4",4,44,"Private","Some-college",10,"Married-civ-spouse","Black","Male",40,">50K"
"5",5,34,"Private","10th",6,"Never-married","White","Male",30,"<=50K"
"6",6,63,"Self-emp-not-inc","Prof-school",15,"Married-civ-spouse","White","Male",32,">50K"
"7",7,24,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"8",8,55,"Private","7th-8th",4,"Married-civ-spouse","White","Male",10,"<=50K"
"9",9,65,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"10",10,36,"Federal-gov","Bachelors",13,"Married-civ-spouse","White","Male",40,"<=50K"
"11",11,26,"Private","HS-grad",9,"Never-married","White","Female",39,"<=50K"
"12",12,48,"Private","HS-grad",9,"Married-civ-spouse","White","Male",48,">50K"
"13",13,43,"Private","Masters",14,"Married-civ-spouse","White","Male",50,">50K"
"14",14,20,"State-gov","Some-college",10,"Never-married","White","Male",25,"<=50K"
"15",15,43,"Private","HS-grad",9,"Married-civ-spouse","White","Female",30,"<=50K"
"16",16,37,"Private","HS-grad",9,"Widowed","White","Female",20,"<=50K"
"17",17,40,"Private","Doctorate",16,"Married-civ-spouse","Asian-Pac-Islander","Male",45,">50K"
"18",18,34,"Private","Bachelors",13,"Married-civ-spouse","White","Male",47,">50K"
"19",19,34,"Private","Some-college",10,"Never-married","Black","Female",35,"<=50K"
"20",20,25,"Private","Bachelors",13,"Never-married","White","Male",43,"<=50K"
"21",21,25,"Private","Bachelors",13,"Married-civ-spouse","White","Male",40,"<=50K"
"22",22,45,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","White","Male",90,">50K"
"23",23,22,"Private","HS-grad",9,"Never-married","White","Male",20,"<=50K"
"24",24,23,"Private","HS-grad",9,"Separated","Black","Male",54,"<=50K"
"25",25,54,"Private","HS-grad",9,"Married-civ-spouse","White","Male",35,"<=50K"
"26",26,32,"Self-emp-not-inc","Some-college",10,"Never-married","White","Male",60,"<=50K"
"27",27,46,"State-gov","Some-college",10,"Married-civ-spouse","Black","Male",38,">50K"
"28",28,56,"Self-emp-not-inc","11th",7,"Widowed","White","Female",50,"<=50K"
"29",29,24,"Self-emp-not-inc","Bachelors",13,"Never-married","White","Male",50,"<=50K"
"30",30,23,"Local-gov","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"31",31,26,"Private","HS-grad",9,"Divorced","White","Female",40,"<=50K"
"32",32,36,"Local-gov","Bachelors",13,"Married-civ-spouse","White","Male",40,">50K"
"33",33,22,"Private","5th-6th",3,"Never-married","White","Male",50,"<=50K"
"34",34,17,"Private","10th",6,"Never-married","White","Male",40,"<=50K"
"35",35,20,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"36",36,65,"Private","Masters",14,"Married-civ-spouse","White","Male",50,">50K"
"37",37,44,"Self-emp-inc","Assoc-voc",11,"Married-civ-spouse","White","Male",45,">50K"
"38",38,36,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"39",39,29,"Private","11th",7,"Married-civ-spouse","White","Male",40,"<=50K"
"40",40,20,"State-gov","Some-college",10,"Never-married","White","Male",32,"<=50K"
"41",41,28,"Private","Assoc-voc",11,"Married-civ-spouse","White","Female",36,">50K"
"42",42,39,"Private","7th-8th",4,"Married-civ-spouse","White","Male",40,"<=50K"
"43",43,54,"Private","Some-college",10,"Married-civ-spouse","White","Male",50,"<=50K"
"44",44,52,"Private","11th",7,"Separated","Black","Female",18,"<=50K"
"45",45,56,"Self-emp-inc","HS-grad",9,"Widowed","White","Female",50,"<=50K"
"46",46,18,"Private","Some-college",10,"Never-married","White","Male",20,"<=50K"
"47",47,39,"Private","HS-grad",9,"Divorced","Black","Male",40,"<=50K"
"48",48,21,"Private","Some-college",10,"Never-married","White","Female",24,"<=50K"
"49",49,22,"Private","HS-grad",9,"Never-married","White","Male",60,">50K"
"50",50,38,"Private","9th",5,"Married-spouse-absent","White","Male",54,"<=50K"
"51",51,21,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"52",52,63,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"53",53,34,"Local-gov","Bachelors",13,"Married-civ-spouse","White","Male",50,">50K"
"54",54,42,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","White","Male",50,">50K"
"55",55,33,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"56",56,30,"Private","Bachelors",13,"Never-married","White","Female",50,"<=50K"
"57",57,39,"Private","Some-college",10,"Divorced","White","Male",40,"<=50K"
"58",58,26,"Private","Masters",14,"Never-married","White","Female",40,"<=50K"
"59",59,33,"Private","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"60",60,47,"Local-gov","HS-grad",9,"Divorced","White","Female",40,"<=50K"
"61",61,41,"Private","Bachelors",13,"Never-married","White","Female",40,"<=50K"
"62",62,41,"Self-emp-inc","Assoc-acdm",12,"Married-civ-spouse","White","Male",60,">50K"
"63",63,19,"Private","Some-college",10,"Never-married","White","Male",20,"<=50K"
"64",64,46,"Private","HS-grad",9,"Separated","White","Male",40,"<=50K"
"65",65,43,"Private","HS-grad",9,"Married-civ-spouse","White","Male",48,"<=50K"
"66",66,55,"Private","Some-college",10,"Married-civ-spouse","White","Male",45,">50K"
"67",67,46,"Private","Assoc-voc",11,"Married-civ-spouse","White","Male",40,"<=50K"
"68",68,30,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"69",69,21,"Private","Some-college",10,"Separated","White","Female",40,"<=50K"
"70",70,46,"Private","Some-college",10,"Married-civ-spouse","Other","Male",40,"<=50K"
"71",71,41,"Private","HS-grad",9,"Married-civ-spouse","White","Male",50,"<=50K"
"72",72,69,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","White","Male",30,"<=50K"
"73",73,50,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"74",74,20,"Private","Some-college",10,"Never-married","White","Female",40,"<=50K"
"75",75,45,"Self-emp-inc","Some-college",10,"Married-civ-spouse","White","Male",50,"<=50K"
"76",76,23,"Private","Bachelors",13,"Never-married","White","Male",40,"<=50K"
"77",77,24,"Private","Some-college",10,"Separated","White","Male",40,"<=50K"
"78",78,44,"Self-emp-inc","HS-grad",9,"Married-civ-spouse","White","Male",50,">50K"
"79",79,31,"Self-emp-not-inc","Some-college",10,"Married-civ-spouse","White","Male",50,"<=50K"
"80",80,43,"Private","HS-grad",9,"Separated","White","Female",44,"<=50K"
"81",81,20,"Federal-gov","11th",7,"Never-married","White","Female",10,"<=50K"
"82",82,55,"Private","HS-grad",9,"Married-civ-spouse","White","Male",56,">50K"
"83",83,24,"Federal-gov","Some-college",10,"Never-married","White","Male",40,"<=50K"
"84",84,59,"Private","Bachelors",13,"Never-married","White","Female",25,"<=50K"
"85",85,49,"Federal-gov","7th-8th",4,"Never-married","Black","Male",20,"<=50K"
"86",86,33,"Private","Masters",14,"Married-civ-spouse","White","Female",10,">50K"
"87",87,59,"Federal-gov","Bachelors",13,"Divorced","White","Male",40,"<=50K"
"88",88,34,"Private","Masters",14,"Never-married","Amer-Indian-Eskimo","Male",40,"<=50K"
"89",89,20,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"90",90,25,"Private","Bachelors",13,"Never-married","White","Female",40,"<=50K"
"91",91,49,"Private","10th",6,"Married-civ-spouse","White","Male",40,"<=50K"
"92",92,59,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,">50K"
"93",93,20,"Private","HS-grad",9,"Never-married","White","Female",40,"<=50K"
"94",94,33,"Private","Some-college",10,"Never-married","Black","Female",35,"<=50K"
"95",95,22,"Private","Some-college",10,"Never-married","Black","Male",39,"<=50K"
"96",96,58,"Self-emp-not-inc","9th",5,"Widowed","White","Female",40,"<=50K"
"97",97,52,"Local-gov","HS-grad",9,"Widowed","White","Female",28,"<=50K"
"98",98,36,"Private","10th",6,"Separated","White","Female",40,"<=50K"
"99",99,41,"Local-gov","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"100",100,28,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"101",101,19,"Private","Some-college",10,"Never-married","Black","Male",16,"<=50K"
"102",102,18,"Private","HS-grad",9,"Never-married","White","Female",28,"<=50K"
"103",103,18,"Private","HS-grad",9,"Never-married","White","Female",48,"<=50K"
"104",104,28,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"105",105,29,"Private","Assoc-voc",11,"Married-civ-spouse","White","Male",40,">50K"
"106",106,40,"Private","Some-college",10,"Married-civ-spouse","White","Male",40,"<=50K"
"107",107,26,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"108",108,46,"Private","HS-grad",9,"Married-civ-spouse","White","Male",40,"<=50K"
"109",109,23,"Private","11th",7,"Never-married","White","Female",24,"<=50K"
"110",110,44,"Private","HS-grad",9,"Married-spouse-absent","White","Female",40,"<=50K"
"111",111,43,"Private","Bachelors",13,"Divorced","White","Female",40,">50K"
"112",112,31,"Local-gov","Bachelors",13,"Divorced","White","Female",60,"<=50K"
"113",113,18,"Private","Some-college",10,"Never-married","White","Female",25,"<=50K"
"114",114,19,"Private","Some-college",10,"Never-married","White","Male",30,"<=50K"
"115",115,41,"Private","Some-college",10,"Divorced","White","Female",40,"<=50K"
"116",116,41,"Private","HS-grad",9,"Divorced","White","Female",40,"<=50K"
"117",117,69,"Private","HS-grad",9,"Divorced","White","Female",25,"<=50K"
"118",118,48,"Federal-gov","Doctorate",16,"Married-civ-spouse","White","Female",40,">50K"
"119",119,28,"Private","HS-grad",9,"Never-married","White","Male",40,"<=50K"
"120",120,27,"Self-emp-not-inc","HS-grad",9,"Married-civ-spouse","White","Male",60,">50K"
"121",121,41,"Private","Masters",14,"Married-civ-spouse","White","Male",50,">50K"
